iteration,type,subtype,id,money
60,agent,Middle,G51,5208166.33
60,agent,Middle,G52,5148699.67
60,agent,Middle,G53,5099613.75
60,agent,Middle,G54,4353920.46
60,agent,Middle,G55,4890448.40
60,agent,Middle,G56,5753899.98
60,agent,Middle,G57,5053137.12
60,agent,Middle,G58,5099613.75
60,agent,Middle,G59,4353888.03
60,agent,Middle,G60,3698516.68
60,agent,Middle,G61,6625297.61
60,agent,Middle,G62,6275655.08
60,agent,Middle,G63,5860002.22
60,agent,Middle,G64,4353375.19
60,agent,Middle,G65,4321866.91
60,agent,Middle,G66,5056198.20
60,agent,Middle,G67,4367913.16
60,agent,Middle,G68,3589216.53
60,agent,Middle,G69,3697690.51
60,agent,Middle,G70,6024453.93
60,agent,Middle,G71,5528272.70
60,agent,Middle,G72,6966139.56
60,agent,Middle,G73,4328291.21
60,agent,Middle,G74,6802648.51
60,agent,Middle,G75,5049168.23
60,agent,Middle,G76,5099613.75
60,agent,Middle,G77,5180571.07
60,agent,Middle,G78,6732068.72
60,agent,Middle,G79,4307563.95
60,agent,Low,G80,187978.33
60,agent,Low,G81,104341.57
60,agent,Low,G82,172916.82
60,agent,Low,G83,182740.74
60,agent,Low,G84,184546.25
60,agent,Low,G85,184945.62
60,agent,Low,G86,184945.62
60,agent,Low,G87,150259.92
60,agent,Low,G88,184945.62
60,agent,Low,G89,104291.85
60,agent,Low,G90,185090.77
60,agent,Low,G91,184945.62
60,agent,Low,G92,188386.35
60,agent,Low,G93,97698.16
60,agent,Low,G94,183004.58
60,agent,Low,G95,184743.86
60,agent,Low,G96,184945.62
60,agent,Low,G97,151490.55
60,agent,Low,G98,169891.58
60,agent,Low,G99,186873.97
60,firm,,F0,33938687.52
60,firm,,F1,99456375.53
60,firm,,F2,46832322.62
60,firm,,F3,58534622.12
60,firm,,F4,57631745.52
60,firm,,F5,88732856.42
60,firm,,F6,40867143.46
60,firm,,F7,104412595.10
60,firm,,F8,67868050.49
60,regulator,,R0,1003508587.95
70,agent,High,G0,9270792.39
70,agent,High,G1,12702571.88
70,agent,High,G2,9338852.95
70,agent,High,G3,11016660.71
70,agent,High,G4,12547533.32
70,agent,Middle,G5,5099613.75
70,agent,Middle,G6,5731175.41
70,agent,Middle,G7,5107496.39
70,agent,Middle,G8,5862028.33
70,agent,Middle,G9,5008741.54
70,agent,Middle,G10,4353402.49
70,agent,Middle,G11,5776352.57
70,agent,Middle,G12,5099613.75
70,agent,Middle,G13,5855528.63
70,agent,Middle,G14,5861467.35
70,agent,Middle,G15,5100472.05
70,agent,Middle,G16,4977625.03
70,agent,Middle,G17,5148239.96
70,agent,Middle,G18,5855425.25
70,agent,Middle,G19,6435210.39
70,agent,Middle,G20,4464801.19
70,agent,Middle,G21,3698760.92
70,agent,Middle,G22,3226022.65
70,agent,Middle,G23,5266164.96
70,agent,Middle,G24,5892760.25
70,agent,Middle,G25,3662004.62
70,agent,Middle,G26,5035458.67
70,agent,Middle,G27,3680166.24
70,agent,Middle,G28,4359810.14
