Time,type,Income-class,id,Net-worth
50,agent,Middle,G55,5931988.73
50,agent,Middle,G56,4372980.63
50,agent,Middle,G57,3712633.14
50,agent,Middle,G58,4373534.96
50,agent,Middle,G59,5918644.45
50,agent,Middle,G60,5146162.56
50,agent,Middle,G61,6485202.73
50,agent,Middle,G62,4329324.86
50,agent,Middle,G63,5151125.0
50,agent,Middle,G64,5151125.0
50,agent,Middle,G65,5802380.33
50,agent,Middle,G66,5135765.41
50,agent,Middle,G67,6034174.87
50,agent,Middle,G68,5151125.0
50,agent,Middle,G69,6754013.69
50,agent,Middle,G70,5141012.34
50,agent,Middle,G71,5030264.77
50,agent,Middle,G72,3712626.15
50,agent,Middle,G73,4428505.35
50,agent,Middle,G74,5386842.2
50,agent,Middle,G75,5903399.63
50,agent,Middle,G76,4413243.93
50,agent,Middle,G77,4369631.26
50,agent,Middle,G78,4342706.77
50,agent,Middle,G79,5919814.64
50,agent,Low,G80,10100.25
50,agent,Low,G81,-105256.17
50,agent,Low,G82,10309.16
50,agent,Low,G83,9890.19
50,agent,Low,G84,10100.25
50,agent,Low,G85,-26586.89
50,agent,Low,G86,10100.25
50,agent,Low,G87,9896.93
50,agent,Low,G88,10100.25
50,agent,Low,G89,10100.25
50,agent,Low,G90,-28492.14
50,agent,Low,G91,-18438.13
50,agent,Low,G92,-78144.34
50,agent,Low,G93,10100.25
50,agent,Low,G94,10100.25
50,agent,Low,G95,10037.94
50,agent,Low,G96,10300.9
50,agent,Low,G97,10290.53
50,agent,Low,G98,9896.99
50,agent,Low,G99,10100.25
50,firm,,F0,97967379.37
50,firm,,F1,68072938.96
50,firm,,F2,38971005.8
50,firm,,F3,1059887.26
50,firm,,F4,44937190.67
50,firm,,F5,59199585.11
50,firm,,F6,78932785.77
50,firm,,F7,33075480.35
50,firm,,F8,5069946.43
50,firm,,F9,79899975.75
50,regulator,,R0,1000000000.0
60,agent,High,G0,11002787.41
60,agent,High,G1,11025000.0
60,agent,High,G2,11025000.0
60,agent,High,G3,9360335.2
60,agent,High,G4,12667452.21
60,agent,Middle,G5,5176761.86
60,agent,Middle,G6,5775570.38
60,agent,Middle,G7,5151125.0
60,agent,Middle,G8,4373903.93
60,agent,Middle,G9,3149166.64
60,agent,Middle,G10,5964488.77
60,agent,Middle,G11,4361434.66
60,agent,Middle,G12,4373680.1
60,agent,Middle,G13,6801548.93
60,agent,Middle,G14,5257085.98
60,agent,Middle,G15,5027318.98
60,agent,Middle,G16,5100122.17
60,agent,Middle,G17,5022090.48
60,agent,Middle,G18,5147400.84
60,agent,Middle,G19,5916444.6
60,agent,Middle,G20,5151125.0
60,agent,Middle,G21,4374140.61
60,agent,Middle,G22,5031104.4
60,agent,Middle,G23,5151125.0
60,agent,Middle,G24,5146598.91
60,agent,Middle,G25,3713004.61
60,agent,Middle,G26,5151125.0
60,agent,Middle,G27,5858294.23
60,agent,Middle,G28,6454896.98
60,agent,Middle,G29,6010273.99
60,agent,Middle,G30,5217008.55
60,agent,Middle,G31,6013856.1
60,agent,Middle,G32,5151125.0
60,agent,Middle,G33,5151125.0
60,agent,Middle,G34,4976316.47
60,agent,Middle,G35,5901527.51
60,agent,Middle,G36,5921094.22
60,agent,Middle,G37,5181012.61
60,agent,Middle,G38,5910837.56
60,agent,Middle,G39,4335541.1
60,agent,Middle,G40,5919204.96
60,agent,Middle,G41,5968971.94
60,agent,Middle,G42,4367568.94
60,agent,Middle,G43,4373306.95
60,agent,Middle,G44,4433106.84
60,agent,Middle,G45,6051176.96
60,agent,Middle,G46,5068650.26
60,agent,Middle,G47,5151125.0
60,agent,Middle,G48,5141305.99
60,agent,Middle,G49,5106692.63
60,agent,Middle,G50,5826951.37
60,agent,Middle,G51,5151125.0
60,agent,Middle,G52,4433306.82
60,agent,Middle,G53,5094974.21
60,agent,Middle,G54,3714247.05
60,agent,Middle,G55,5882610.73
60,agent,Middle,G56,4372980.63
60,agent,Middle,G57,3712633.14
60,agent,Middle,G58,5141542.14
60,agent,Middle,G59,5918644.45
60,agent,Middle,G60,5146162.56
60,agent,Middle,G61,6485202.73
60,agent,Middle,G62,4329324.86
60,agent,Middle,G63,4373794.68
60,agent,Middle,G64,5151125.0
60,agent,Middle,G65,4991750.34
60,agent,Middle,G66,5135765.41
60,agent,Middle,G67,6034174.87
60,agent,Middle,G68,5220478.1
60,agent,Middle,G69,6754013.69
60,agent,Middle,G70,5141012.34
60,agent,Middle,G71,5896106.88
60,agent,Middle,G72,3712626.15
60,agent,Middle,G73,4428274.95
60,agent,Middle,G74,5386842.2
60,agent,Middle,G75,5966788.63
60,agent,Middle,G76,4413243.93
60,agent,Middle,G77,4369631.26
60,agent,Middle,G78,4342706.77
60,agent,Middle,G79,5919814.64
60,agent,Low,G80,10100.25
60,agent,Low,G81,-105256.17
60,agent,Low,G82,10309.16
60,agent,Low,G83,9890.19
60,agent,Low,G84,9897.06
60,agent,Low,G85,-26586.89
60,agent,Low,G86,9897.17
60,agent,Low,G87,9896.93
60,agent,Low,G88,-11634.75
60,agent,Low,G89,10100.25
60,agent,Low,G90,-28492.14
60,agent,Low,G91,-18438.13
60,agent,Low,G92,-78144.34
60,agent,Low,G93,10100.25
60,agent,Low,G94,10301.07
60,agent,Low,G95,10037.94
60,agent,Low,G96,10300.9
60,agent,Low,G97,10290.53
60,agent,Low,G98,10097.92
60,agent,Low,G99,10100.25
60,firm,,F0,97991249.57
60,firm,,F1,68082356.09
60,firm,,F2,38861292.4
60,firm,,F3,1059887.26
60,firm,,F4,78081698.76
60,firm,,F5,59258286.24
60,firm,,F6,78946246.66
60,firm,,F7,5069946.43
60,firm,,F8,79847647.41
60,regulator,,R0,1000000000.0
70,agent,High,G0,11002787.41
70,agent,High,G1,11025000.0
70,agent,High,G2,11025000.0
70,agent,High,G3,9360335.2
70,agent,High,G4,12667452.21
70,agent,Middle,G5,6143177.53
70,agent,Middle,G6,4903429.98
70,agent,Middle,G7,6011655.71
70,agent,Middle,G8,3713564.97
70,agent,Middle,G9,3149166.64
70,agent,Middle,G10,5964488.77
70,agent,Middle,G11,4361434.66
70,agent,Middle,G12,4373680.1
70,agent,Middle,G13,6865132.93
70,agent,Middle,G14,5257085.98
70,agent,Middle,G15,5027318.98
70,agent,Middle,G16,5100122.17
70,agent,Middle,G17,5020940.18
70,agent,Middle,G18,5147400.84
70,agent,Middle,G19,5024152.44
70,agent,Middle,G20,5218250.0
70,agent,Middle,G21,4374140.61
70,agent,Middle,G22,5031104.4
70,agent,Middle,G23,5151125.0
70,agent,Middle,G24,5146598.91
70,agent,Middle,G25,3713004.61
